component_fun,setting,model,video,acc
FastICA,default,Birch,16093601,0.72
FastICA,default,Birch,16093801,0.8309859154929577
FastICA,default,Birch,170101,0.5121951219512195
FastICA,default,Birch,170103,0.6785714285714286
FastICA,default,Birch,170104,0.8095238095238095
FastICA,default,Birch,170108,0.6190476190476191
FastICA,default,Birch,170110,0.6190476190476191
FastICA,default,KMeans,16090101,0.5294117647058824
FastICA,default,KMeans,16090401,0.5866666666666667
FastICA,default,KMeans,16090601,0.5581395348837209
FastICA,default,KMeans,16091201,0.5833333333333333
FastICA,default,KMeans,16091301,0.5454545454545454
FastICA,default,KMeans,16092001,0.7142857142857143
FastICA,default,KMeans,16092201,0.5862068965517242
FastICA,default,KMeans,16092301,0.6440677966101696
FastICA,default,KMeans,16092501,0.8243243243243243
FastICA,default,KMeans,16092701,0.9166666666666666
FastICA,default,KMeans,16092801,0.72
FastICA,default,KMeans,16093001,0.6935483870967742
FastICA,default,KMeans,16093201,0.6829268292682926
FastICA,default,KMeans,16093301,0.7027027027027027
FastICA,default,KMeans,16093501,0.5454545454545454
FastICA,default,KMeans,16093601,0.72
FastICA,default,KMeans,16093801,0.5492957746478873
FastICA,default,KMeans,170101,0.6341463414634146
FastICA,default,KMeans,170103,0.75
FastICA,default,KMeans,170104,0.6507936507936508
FastICA,default,KMeans,170108,0.6190476190476191
FastICA,default,KMeans,170110,0.8253968253968254
FastICA,default,MiniBatchKMeans,16090101,0.7352941176470589
FastICA,default,MiniBatchKMeans,16090401,0.76
FastICA,default,MiniBatchKMeans,16090601,0.6744186046511628
FastICA,default,MiniBatchKMeans,16091201,0.8611111111111112
FastICA,default,MiniBatchKMeans,16091301,0.75
FastICA,default,MiniBatchKMeans,16092001,0.5714285714285714
FastICA,default,MiniBatchKMeans,16092201,0.8275862068965517
FastICA,default,MiniBatchKMeans,16092301,0.5932203389830508
FastICA,default,MiniBatchKMeans,16092501,0.7837837837837838
FastICA,default,MiniBatchKMeans,16092701,0.7777777777777778
FastICA,default,MiniBatchKMeans,16092801,0.52
FastICA,default,MiniBatchKMeans,16093001,0.7741935483870968
FastICA,default,MiniBatchKMeans,16093201,0.5365853658536586
FastICA,default,MiniBatchKMeans,16093301,0.9189189189189187
FastICA,default,MiniBatchKMeans,16093501,0.6363636363636364
FastICA,default,MiniBatchKMeans,16093601,0.6799999999999999
FastICA,default,MiniBatchKMeans,16093801,0.647887323943662
FastICA,default,MiniBatchKMeans,170101,0.5121951219512195
FastICA,default,MiniBatchKMeans,170103,0.5357142857142857
FastICA,default,MiniBatchKMeans,170104,0.6349206349206349
FastICA,default,MiniBatchKMeans,170108,0.6190476190476191
FastICA,default,MiniBatchKMeans,170110,0.5555555555555556
FastICA,default,SpectralClustering,16090101,0.5882352941176471
FastICA,default,SpectralClustering,16090401,0.9866666666666668
FastICA,default,SpectralClustering,16090601,1.0
FastICA,default,SpectralClustering,16091201,0.5833333333333334
FastICA,default,SpectralClustering,16091301,0.5227272727272727
FastICA,default,SpectralClustering,16092001,0.6190476190476191
FastICA,default,SpectralClustering,16092201,0.5344827586206896
FastICA,default,SpectralClustering,16092301,0.576271186440678
FastICA,default,SpectralClustering,16092501,0.5135135135135135
FastICA,default,SpectralClustering,16092701,0.5277777777777778
FastICA,default,SpectralClustering,16092801,0.82
FastICA,default,SpectralClustering,16093001,0.7419354838709677
FastICA,default,SpectralClustering,16093201,0.5609756097560976
FastICA,default,SpectralClustering,16093301,0.5675675675675675
FastICA,default,SpectralClustering,16093501,0.8727272727272727
FastICA,default,SpectralClustering,16093601,0.56
FastICA,default,SpectralClustering,16093801,0.5915492957746479
FastICA,default,SpectralClustering,170101,0.7317073170731707
FastICA,default,SpectralClustering,170103,0.75
FastICA,default,SpectralClustering,170104,0.5079365079365079
FastICA,default,SpectralClustering,170108,0.5238095238095238
FastICA,default,SpectralClustering,170110,0.8412698412698413
IncrementalPCA,default,AgglomerativeClustering,16090101,0.9411764705882352
IncrementalPCA,default,AgglomerativeClustering,16090401,1.0
IncrementalPCA,default,AgglomerativeClustering,16090601,1.0
IncrementalPCA,default,AgglomerativeClustering,16091201,0.9444444444444444
IncrementalPCA,default,AgglomerativeClustering,16091301,0.75
IncrementalPCA,default,AgglomerativeClustering,16092001,0.9523809523809524
IncrementalPCA,default,AgglomerativeClustering,16092201,0.5344827586206896
IncrementalPCA,default,AgglomerativeClustering,16092301,0.6101694915254237
IncrementalPCA,default,AgglomerativeClustering,16092501,0.9054054054054054
IncrementalPCA,default,AgglomerativeClustering,16092701,0.6388888888888888
IncrementalPCA,default,AgglomerativeClustering,16092801,1.0
IncrementalPCA,default,AgglomerativeClustering,16093001,0.7903225806451613
IncrementalPCA,default,AgglomerativeClustering,16093201,0.8780487804878049
IncrementalPCA,default,AgglomerativeClustering,16093301,1.0
IncrementalPCA,default,AgglomerativeClustering,16093501,0.9454545454545454
IncrementalPCA,default,AgglomerativeClustering,16093601,0.56
IncrementalPCA,default,AgglomerativeClustering,16093801,0.9154929577464788
IncrementalPCA,default,AgglomerativeClustering,170101,0.7317073170731707
IncrementalPCA,default,AgglomerativeClustering,170103,0.7142857142857143
IncrementalPCA,default,AgglomerativeClustering,170104,0.6507936507936508
IncrementalPCA,default,AgglomerativeClustering,170108,1.0
IncrementalPCA,default,AgglomerativeClustering,170110,0.8253968253968254
IncrementalPCA,default,Birch,16090101,0.9411764705882352
IncrementalPCA,default,Birch,16090401,1.0
