col,img,decomposition.1,decomposition.2,cluster,acc,time
NIR_255,170101,FactorAnalysis,KernelPCA_sigmoid,KMeans,0.6341463414634146,3556.068420410156
NIR_255,170101,FactorAnalysis,KernelPCA_sigmoid,SpectralClustering,0.8048780487804879,3602.985858917236
NIR_255,170101,FactorAnalysis,KernelPCA_sigmoid,Birch,0.5121951219512195,3517.5440311431885
NIR_255,170101,FactorAnalysis,KernelPCA_sigmoid,AgglomerativeClustering,0.7317073170731707,3500.827550888061
NIR_255,170101,FactorAnalysis,KernelPCA_cosine,MiniBatchKMeans,0.6341463414634146,2554.173231124878
NIR_255,170101,FactorAnalysis,KernelPCA_cosine,KMeans,0.8780487804878049,2191.634178161621
NIR_255,170101,FactorAnalysis,KernelPCA_cosine,SpectralClustering,0.5121951219512195,2246.3302612304688
NIR_255,170101,FactorAnalysis,KernelPCA_cosine,Birch,0.5365853658536586,2111.6719245910645
NIR_255,170101,FactorAnalysis,KernelPCA_cosine,AgglomerativeClustering,0.7317073170731707,2092.5416946411133
NIR_255,170101,FactorAnalysis,FactorAnalysis,MiniBatchKMeans,0.7073170731707317,2453.2618522644043
NIR_255,170101,FactorAnalysis,FactorAnalysis,KMeans,0.6341463414634146,2216.5048122406006
NIR_255,170101,FactorAnalysis,FactorAnalysis,SpectralClustering,0.5121951219512195,3246.6824054718018
NIR_255,170101,FactorAnalysis,FactorAnalysis,Birch,0.7317073170731707,2210.824489593506
NIR_255,170101,FactorAnalysis,FactorAnalysis,AgglomerativeClustering,0.7317073170731707,2198.7011432647705
NIR_255,170101,FactorAnalysis,FastICA,MiniBatchKMeans,0.5121951219512195,1246.7689514160156
NIR_255,170101,FactorAnalysis,FastICA,KMeans,0.5365853658536586,1160.2585315704346
NIR_255,170101,FactorAnalysis,FastICA,SpectralClustering,0.5121951219512195,1139.1987800598145
NIR_255,170101,FactorAnalysis,FastICA,Birch,0.5365853658536586,1071.3860988616943
NIR_255,170101,FactorAnalysis,FastICA,AgglomerativeClustering,0.5365853658536586,1058.8839054107666
NIR_255,170101,FactorAnalysis,IncrementalPCA,MiniBatchKMeans,0.7560975609756098,1171.9729900360107
NIR_255,170101,FactorAnalysis,IncrementalPCA,KMeans,0.5853658536585367,1071.990728378296
NIR_255,170101,FactorAnalysis,IncrementalPCA,SpectralClustering,0.5121951219512195,1020.071268081665
NIR_255,170101,FactorAnalysis,IncrementalPCA,Birch,0.7317073170731707,1011.9054317474364
NIR_255,170101,FactorAnalysis,IncrementalPCA,AgglomerativeClustering,0.7317073170731707,993.7994480133056
NIR_255,170101,FactorAnalysis,PCA,MiniBatchKMeans,0.6585365853658536,944.9288845062256
NIR_255,170101,FactorAnalysis,PCA,KMeans,0.6341463414634146,836.6868495941162
NIR_255,170101,FactorAnalysis,PCA,SpectralClustering,0.5121951219512195,876.516580581665
NIR_255,170101,FactorAnalysis,PCA,Birch,0.7317073170731707,812.7577304840088
NIR_255,170101,FactorAnalysis,PCA,AgglomerativeClustering,0.7317073170731707,804.1808605194092
NIR_255,170101,FactorAnalysis,TruncatedSVD,MiniBatchKMeans,0.5365853658536586,962.6271724700928
NIR_255,170101,FactorAnalysis,TruncatedSVD,KMeans,0.5853658536585366,791.372537612915
NIR_255,170101,FactorAnalysis,TruncatedSVD,SpectralClustering,0.5121951219512195,805.3851127624512
NIR_255,170101,FactorAnalysis,TruncatedSVD,Birch,0.6341463414634146,720.2873229980469
NIR_255,170101,FactorAnalysis,TruncatedSVD,AgglomerativeClustering,0.6341463414634146,704.8666477203369
NIR_255,170101,FastICA,KernelPCA_sigmoid,MiniBatchKMeans,0.902439024390244,286.6380214691162
NIR_255,170101,FastICA,KernelPCA_sigmoid,KMeans,0.7073170731707317,228.1508445739746
NIR_255,170101,FastICA,KernelPCA_sigmoid,SpectralClustering,0.926829268292683,238.70325088500977
NIR_255,170101,FastICA,KernelPCA_sigmoid,Birch,0.5365853658536586,164.27874565124512
NIR_255,170101,FastICA,KernelPCA_sigmoid,AgglomerativeClustering,0.7073170731707317,148.6978530883789
NIR_255,170101,FastICA,KernelPCA_cosine,MiniBatchKMeans,0.8536585365853658,246.48451805114743
NIR_255,170101,FastICA,KernelPCA_cosine,KMeans,0.7560975609756098,98.03271293640135
NIR_255,170101,FastICA,KernelPCA_cosine,SpectralClustering,1.0,110.884428024292
NIR_255,170101,FastICA,KernelPCA_cosine,Birch,0.5365853658536586,87.71419525146484
NIR_255,170101,FastICA,KernelPCA_cosine,AgglomerativeClustering,0.7073170731707317,72.15094566345215
NIR_255,170101,FastICA,FactorAnalysis,MiniBatchKMeans,0.5365853658536586,286.58318519592285
NIR_255,170101,FastICA,FactorAnalysis,KMeans,0.5365853658536586,191.36381149291992
NIR_255,170101,FastICA,FactorAnalysis,SpectralClustering,0.951219512195122,237.67447471618647
NIR_255,170101,FastICA,FactorAnalysis,Birch,0.5365853658536586,157.32860565185547
NIR_255,170101,FastICA,FactorAnalysis,AgglomerativeClustering,0.5365853658536586,151.55601501464844
NIR_255,170101,FastICA,FastICA,MiniBatchKMeans,0.5365853658536586,338.84382247924805
NIR_255,170101,FastICA,FastICA,KMeans,0.5365853658536586,171.09179496765137
NIR_255,170101,FastICA,FastICA,SpectralClustering,0.5121951219512195,193.9413547515869
NIR_255,170101,FastICA,FastICA,Birch,0.5365853658536586,158.82301330566406
NIR_255,170101,FastICA,FastICA,AgglomerativeClustering,0.5853658536585366,150.6326198577881
NIR_255,170101,FastICA,IncrementalPCA,MiniBatchKMeans,0.5121951219512195,146.5287208557129
NIR_255,170101,FastICA,IncrementalPCA,KMeans,0.7073170731707317,122.28512763977052
NIR_255,170101,FastICA,IncrementalPCA,SpectralClustering,0.7560975609756098,143.92495155334473
NIR_255,170101,FastICA,IncrementalPCA,Birch,0.5365853658536586,48.84195327758789
NIR_255,170101,FastICA,IncrementalPCA,AgglomerativeClustering,0.7073170731707317,36.019086837768555
NIR_255,170101,FastICA,PCA,MiniBatchKMeans,0.8780487804878049,173.83551597595215
NIR_255,170101,FastICA,PCA,KMeans,0.6341463414634146,93.96076202392578
NIR_255,170101,FastICA,PCA,SpectralClustering,0.8048780487804879,105.9730052947998
NIR_255,170101,FastICA,PCA,Birch,0.5365853658536586,67.6121711730957
NIR_255,170101,FastICA,PCA,AgglomerativeClustering,0.8048780487804879,62.24322319030762
NIR_255,170101,FastICA,TruncatedSVD,MiniBatchKMeans,0.6585365853658537,524.1687297821045
NIR_255,170101,FastICA,TruncatedSVD,KMeans,0.6341463414634146,190.7801628112793
NIR_255,170101,FastICA,TruncatedSVD,SpectralClustering,0.902439024390244,127.54082679748537
NIR_255,170101,FastICA,TruncatedSVD,Birch,0.5365853658536586,130.2199363708496
NIR_255,170101,FastICA,TruncatedSVD,AgglomerativeClustering,0.5365853658536586,108.33430290222168
NIR_255,170101,IncrementalPCA,KernelPCA_sigmoid,MiniBatchKMeans,0.5853658536585367,340.3017520904541
NIR_255,170101,IncrementalPCA,KernelPCA_sigmoid,KMeans,0.5121951219512195,66.16711616516113
NIR_255,170101,IncrementalPCA,KernelPCA_sigmoid,SpectralClustering,0.5121951219512195,41.400909423828125
NIR_255,170101,IncrementalPCA,KernelPCA_sigmoid,Birch,0.5121951219512195,31.778812408447266
NIR_255,170101,IncrementalPCA,KernelPCA_sigmoid,AgglomerativeClustering,0.5121951219512195,20.757198333740234
NIR_255,170101,IncrementalPCA,KernelPCA_cosine,MiniBatchKMeans,0.5609756097560976,189.5902156829834
NIR_255,170101,IncrementalPCA,KernelPCA_cosine,KMeans,0.5121951219512195,143.66865158081055
NIR_255,170101,IncrementalPCA,KernelPCA_cosine,SpectralClustering,0.5121951219512195,144.05131340026855
NIR_255,170101,IncrementalPCA,KernelPCA_cosine,Birch,0.5121951219512195,59.21530723571777
NIR_255,170101,IncrementalPCA,KernelPCA_cosine,AgglomerativeClustering,0.5121951219512195,44.100284576416016
NIR_255,170101,IncrementalPCA,FactorAnalysis,MiniBatchKMeans,0.5121951219512195,238.88373374938965
NIR_255,170101,IncrementalPCA,FactorAnalysis,KMeans,0.5121951219512195,95.58224678039552
NIR_255,170101,IncrementalPCA,FactorAnalysis,SpectralClustering,0.5121951219512195,120.7437515258789
NIR_255,170101,IncrementalPCA,FactorAnalysis,Birch,0.5121951219512195,74.20492172241211
NIR_255,170101,IncrementalPCA,FactorAnalysis,AgglomerativeClustering,0.5121951219512195,67.3215389251709
NIR_255,170101,IncrementalPCA,FastICA,MiniBatchKMeans,0.5121951219512195,456.6643238067627
NIR_255,170101,IncrementalPCA,FastICA,KMeans,0.5121951219512195,322.8640556335449
NIR_255,170101,IncrementalPCA,FastICA,SpectralClustering,0.5609756097560976,304.5988082885742
NIR_255,170101,IncrementalPCA,FastICA,Birch,0.5121951219512195,269.2291736602783
NIR_255,170101,IncrementalPCA,FastICA,AgglomerativeClustering,0.5121951219512195,253.7364959716797
NIR_255,170101,IncrementalPCA,IncrementalPCA,MiniBatchKMeans,0.5121951219512195,167.89698600769043
NIR_255,170101,IncrementalPCA,IncrementalPCA,KMeans,0.5121951219512195,113.26742172241212
NIR_255,170101,IncrementalPCA,IncrementalPCA,SpectralClustering,0.5121951219512195,112.11800575256348
NIR_255,170101,IncrementalPCA,IncrementalPCA,Birch,0.5121951219512195,29.3734073638916
NIR_255,170101,IncrementalPCA,IncrementalPCA,AgglomerativeClustering,0.5121951219512195,20.23172378540039
NIR_255,170101,IncrementalPCA,PCA,MiniBatchKMeans,0.5609756097560976,163.62810134887695
NIR_255,170101,IncrementalPCA,PCA,KMeans,0.5121951219512195,106.19640350341795
NIR_255,170101,IncrementalPCA,PCA,SpectralClustering,0.5121951219512195,37.0330810546875
NIR_255,170101,IncrementalPCA,PCA,Birch,0.5121951219512195,31.387805938720703
NIR_255,170101,IncrementalPCA,PCA,AgglomerativeClustering,0.5121951219512195,16.196012496948242
NIR_255,170101,IncrementalPCA,TruncatedSVD,MiniBatchKMeans,0.5609756097560976,243.29328536987305
NIR_255,170101,IncrementalPCA,TruncatedSVD,KMeans,0.5121951219512195,59.3564510345459
NIR_255,170101,IncrementalPCA,TruncatedSVD,SpectralClustering,0.5121951219512195,126.62148475646973
NIR_255,170101,IncrementalPCA,TruncatedSVD,Birch,0.5121951219512195,58.51912498474121
NIR_255,170101,IncrementalPCA,TruncatedSVD,AgglomerativeClustering,0.5121951219512195,40.50731658935547
NIR_255,170101,PCA,KernelPCA_sigmoid,MiniBatchKMeans,0.5609756097560976,126.6014575958252
NIR_255,170101,PCA,KernelPCA_sigmoid,KMeans,0.5121951219512195,110.42070388793944
NIR_255,170101,PCA,KernelPCA_sigmoid,SpectralClustering,0.5121951219512195,98.4041690826416
NIR_255,170101,PCA,KernelPCA_sigmoid,Birch,0.5121951219512195,28.42259407043457
NIR_255,170101,PCA,KernelPCA_sigmoid,AgglomerativeClustering,0.5121951219512195,14.332056045532228
NIR_255,170101,PCA,KernelPCA_cosine,MiniBatchKMeans,0.5609756097560976,355.15403747558594
NIR_255,170101,PCA,KernelPCA_cosine,KMeans,0.5121951219512195,50.1856803894043
NIR_255,170101,PCA,KernelPCA_cosine,SpectralClustering,0.5121951219512195,51.99551582336426
NIR_255,170101,PCA,KernelPCA_cosine,Birch,0.5121951219512195,28.46646308898925
NIR_255,170101,PCA,KernelPCA_cosine,AgglomerativeClustering,0.5121951219512195,23.49066734313965
NIR_255,170101,PCA,FactorAnalysis,MiniBatchKMeans,0.5121951219512195,448.9572048187256
NIR_255,170101,PCA,FactorAnalysis,KMeans,0.5121951219512195,198.5795497894287
NIR_255,170101,PCA,FactorAnalysis,SpectralClustering,0.5121951219512195,215.64912796020508
NIR_255,170101,PCA,FactorAnalysis,Birch,0.5121951219512195,181.0457706451416
NIR_255,170101,PCA,FactorAnalysis,AgglomerativeClustering,0.5121951219512195,174.5469570159912
NIR_255,170101,PCA,FastICA,MiniBatchKMeans,0.5121951219512195,312.99448013305664
NIR_255,170101,PCA,FastICA,KMeans,0.5121951219512195,272.92609214782715
NIR_255,170101,PCA,FastICA,SpectralClustering,0.5853658536585367,269.06514167785645
NIR_255,170101,PCA,FastICA,Birch,0.5121951219512195,187.31689453125
NIR_255,170101,PCA,FastICA,AgglomerativeClustering,0.5121951219512195,173.5689640045166
NIR_255,170101,PCA,IncrementalPCA,MiniBatchKMeans,0.5365853658536586,393.5418128967285
NIR_255,170101,PCA,IncrementalPCA,KMeans,0.5121951219512195,318.1748390197754
NIR_255,170101,PCA,IncrementalPCA,SpectralClustering,0.5121951219512195,944.7002410888672
NIR_255,170101,PCA,IncrementalPCA,Birch,0.5121951219512195,240.2558326721192
NIR_255,170101,PCA,IncrementalPCA,AgglomerativeClustering,0.5121951219512195,222.14484214782715
NIR_255,170101,PCA,PCA,MiniBatchKMeans,0.5121951219512195,424.0322113037109
NIR_255,170101,PCA,PCA,KMeans,0.5121951219512195,222.7175235748291
NIR_255,170101,PCA,PCA,SpectralClustering,0.5121951219512195,826.9314765930176
NIR_255,170101,PCA,PCA,Birch,0.5121951219512195,165.58241844177246
NIR_255,170101,PCA,PCA,AgglomerativeClustering,0.5121951219512195,152.32348442077637
NIR_255,170101,PCA,TruncatedSVD,MiniBatchKMeans,0.5609756097560976,160.70199012756348
NIR_255,170101,PCA,TruncatedSVD,KMeans,0.5121951219512195,106.7519187927246
NIR_255,170101,PCA,TruncatedSVD,SpectralClustering,0.5121951219512195,78.68671417236328
NIR_255,170101,PCA,TruncatedSVD,Birch,0.5121951219512195,46.782732009887695
NIR_255,170101,PCA,TruncatedSVD,AgglomerativeClustering,0.5121951219512195,37.1246337890625
NIR_255,170101,TruncatedSVD,KernelPCA_sigmoid,MiniBatchKMeans,0.5365853658536586,250.15759468078613
NIR_255,170101,TruncatedSVD,KernelPCA_sigmoid,KMeans,0.5121951219512195,149.27935600280762
NIR_255,170101,TruncatedSVD,KernelPCA_sigmoid,SpectralClustering,0.5121951219512195,169.32106018066406
NIR_255,170101,TruncatedSVD,KernelPCA_sigmoid,Birch,0.5121951219512195,91.48621559143066
NIR_255,170101,TruncatedSVD,KernelPCA_sigmoid,AgglomerativeClustering,0.5121951219512195,75.53625106811523
NIR_255,170101,TruncatedSVD,KernelPCA_cosine,MiniBatchKMeans,0.5121951219512195,256.7148208618164
NIR_255,170101,TruncatedSVD,KernelPCA_cosine,KMeans,0.5121951219512195,156.1875343322754
NIR_255,170101,TruncatedSVD,KernelPCA_cosine,SpectralClustering,0.5121951219512195,155.23338317871094
NIR_255,170101,TruncatedSVD,KernelPCA_cosine,Birch,0.5121951219512195,126.48534774780272
NIR_255,170101,TruncatedSVD,KernelPCA_cosine,AgglomerativeClustering,0.5121951219512195,109.03668403625488
NIR_255,170101,TruncatedSVD,FactorAnalysis,MiniBatchKMeans,0.5609756097560976,400.7048606872559
NIR_255,170101,TruncatedSVD,FactorAnalysis,KMeans,0.5121951219512195,164.23821449279785
NIR_255,170101,TruncatedSVD,FactorAnalysis,SpectralClustering,0.5121951219512195,225.36730766296387
NIR_255,170101,TruncatedSVD,FactorAnalysis,Birch,0.5121951219512195,135.8180046081543
NIR_255,170101,TruncatedSVD,FactorAnalysis,AgglomerativeClustering,0.5121951219512195,121.52099609375
NIR_255,170101,TruncatedSVD,FastICA,MiniBatchKMeans,0.5609756097560976,321.1143016815185
NIR_255,170101,TruncatedSVD,FastICA,KMeans,0.5121951219512195,246.6459274291992
