col,component_fun,setting,model,video,acc,time
NIR_diff,FastICA,default,AgglomerativeClustering,16093201,0.6829268292682927,0.5190601348876953
NIR_diff,FastICA,default,AgglomerativeClustering,16093301,0.6756756756756757,0.5523147583007812
NIR_diff,FastICA,default,AgglomerativeClustering,16093501,0.5818181818181818,0.6273038387298584
NIR_diff,FastICA,default,AgglomerativeClustering,16093601,0.72,0.5853726863861084
NIR_diff,FastICA,default,AgglomerativeClustering,16093801,0.676056338028169,0.8875634670257568
NIR_diff,FastICA,default,AgglomerativeClustering,170101,0.5609756097560976,0.6988182067871094
NIR_diff,FastICA,default,AgglomerativeClustering,170103,0.7142857142857143,0.4284512996673584
NIR_diff,FastICA,default,AgglomerativeClustering,170104,1.0,0.6551196575164795
NIR_diff,FastICA,default,AgglomerativeClustering,170108,0.5238095238095238,0.4874041080474853
NIR_diff,FastICA,default,AgglomerativeClustering,170110,0.8095238095238095,0.8042809963226318
NIR_diff,FastICA,default,Birch,16090101,0.7058823529411765,2.2472357749938965
NIR_diff,FastICA,default,Birch,16090401,0.6266666666666667,3.9233205318450928
NIR_diff,FastICA,default,Birch,16090601,0.5581395348837209,2.3039591312408447
NIR_diff,FastICA,default,Birch,16091201,0.6944444444444444,2.6281850337982178
NIR_diff,FastICA,default,Birch,16091301,0.7727272727272727,2.2466139793396
NIR_diff,FastICA,default,Birch,16091401,0.8775510204081632,2.215097427368164
NIR_diff,FastICA,default,Birch,16092001,0.6507936507936508,2.878058910369873
NIR_diff,FastICA,default,Birch,16092101,0.9047619047619048,2.444036960601806
NIR_diff,FastICA,default,Birch,16092201,0.7241379310344828,3.074580192565918
NIR_diff,FastICA,default,Birch,16092301,0.7796610169491526,2.83280873298645
NIR_diff,FastICA,default,Birch,16092501,0.6891891891891891,3.2050206661224365
NIR_diff,FastICA,default,Birch,16092701,0.8333333333333334,3.821377038955689
NIR_diff,FastICA,default,Birch,16092801,0.62,2.5924792289733887
NIR_diff,FastICA,default,Birch,16093001,0.6129032258064516,3.862722635269165
NIR_diff,FastICA,default,Birch,16093201,0.6829268292682927,2.178691864013672
NIR_diff,FastICA,default,Birch,16093301,0.6486486486486487,2.063650131225586
NIR_diff,FastICA,default,Birch,16093501,0.6363636363636364,2.7628190517425537
NIR_diff,FastICA,default,Birch,16093601,0.72,1.7352654933929443
NIR_diff,FastICA,default,Birch,16093801,0.8309859154929577,3.343513250350952
NIR_diff,FastICA,default,Birch,170101,0.5121951219512195,2.35439682006836
NIR_diff,FastICA,default,Birch,170103,0.6785714285714286,1.5919339656829834
NIR_diff,FastICA,default,Birch,170104,0.8095238095238095,2.8764655590057373
NIR_diff,FastICA,default,Birch,170108,0.6190476190476191,1.497345209121704
NIR_diff,FastICA,default,Birch,170110,0.6190476190476191,3.660535573959351
NIR_diff,FastICA,default,KMeans,16090101,0.7058823529411765,109.15531873703004
NIR_diff,FastICA,default,KMeans,16090401,0.6133333333333333,117.56577467918396
NIR_diff,FastICA,default,KMeans,16090601,0.5581395348837209,105.79383492469788
NIR_diff,FastICA,default,KMeans,16091201,0.5277777777777778,110.3998200893402
NIR_diff,FastICA,default,KMeans,16091301,0.7272727272727273,108.07418394088744
NIR_diff,FastICA,default,KMeans,16091401,0.5918367346938775,111.02504539489746
NIR_diff,FastICA,default,KMeans,16092001,0.7936507936507937,110.89264249801636
NIR_diff,FastICA,default,KMeans,16092101,1.0,45.72940683364868
NIR_diff,FastICA,default,KMeans,16092201,0.5862068965517241,110.7370195388794
NIR_diff,FastICA,default,KMeans,16092301,0.8305084745762712,71.5669777393341
NIR_diff,FastICA,default,KMeans,16092501,0.7432432432432432,108.66399550437929
NIR_diff,FastICA,default,KMeans,16092701,0.8611111111111112,19.10853791236877
NIR_diff,FastICA,default,KMeans,16092801,0.56,106.90799856185912
NIR_diff,FastICA,default,KMeans,16093001,0.532258064516129,107.55978417396544
NIR_diff,FastICA,default,KMeans,16093201,0.6829268292682926,108.56130027770996
NIR_diff,FastICA,default,KMeans,16093301,0.6486486486486487,117.01502227783205
NIR_diff,FastICA,default,KMeans,16093501,0.6181818181818182,108.29737257957458
NIR_diff,FastICA,default,KMeans,16093601,0.72,107.93190741539
NIR_diff,FastICA,default,KMeans,16093801,0.6901408450704225,120.36721968650818
NIR_diff,FastICA,default,KMeans,170101,0.5121951219512195,115.63707733154295
NIR_diff,FastICA,default,KMeans,170103,0.75,112.42438673973083
NIR_diff,FastICA,default,KMeans,170104,0.9206349206349208,105.69042468070984
NIR_diff,FastICA,default,KMeans,170108,0.7619047619047619,13.89582657814026
NIR_diff,FastICA,default,KMeans,170110,0.6825396825396826,99.98497939109802
NIR_diff,FastICA,default,MiniBatchKMeans,16090101,0.5294117647058824,7.277390956878662
NIR_diff,FastICA,default,MiniBatchKMeans,16090401,0.5066666666666666,8.027219533920288
NIR_diff,FastICA,default,MiniBatchKMeans,16090601,0.5813953488372093,7.5885069370269775
NIR_diff,FastICA,default,MiniBatchKMeans,16091201,0.6666666666666666,6.386853933334351
NIR_diff,FastICA,default,MiniBatchKMeans,16091301,0.7727272727272727,7.698531627655029
NIR_diff,FastICA,default,MiniBatchKMeans,16091401,0.5102040816326531,7.505128860473633
NIR_diff,FastICA,default,MiniBatchKMeans,16092001,0.7142857142857143,9.092916011810305
NIR_diff,FastICA,default,MiniBatchKMeans,16092101,0.6666666666666666,15.014894962310793
NIR_diff,FastICA,default,MiniBatchKMeans,16092201,0.7931034482758621,8.314543724060059
NIR_diff,FastICA,default,MiniBatchKMeans,16092301,0.728813559322034,5.660691499710083
NIR_diff,FastICA,default,MiniBatchKMeans,16092501,0.6351351351351351,8.275230169296265
NIR_diff,FastICA,default,MiniBatchKMeans,16092701,0.5555555555555556,16.955141305923462
NIR_diff,FastICA,default,MiniBatchKMeans,16092801,0.6,12.071048259735107
NIR_diff,FastICA,default,MiniBatchKMeans,16093001,0.5161290322580645,8.411749124526978
NIR_diff,FastICA,default,MiniBatchKMeans,16093201,0.5365853658536586,7.073902130126953
NIR_diff,FastICA,default,MiniBatchKMeans,16093301,0.6486486486486487,10.172504425048828
NIR_diff,FastICA,default,MiniBatchKMeans,16093501,0.6181818181818182,6.372953176498413
NIR_diff,FastICA,default,MiniBatchKMeans,16093601,0.72,7.6125218868255615
NIR_diff,FastICA,default,MiniBatchKMeans,16093801,0.9154929577464788,6.67112135887146
NIR_diff,FastICA,default,MiniBatchKMeans,170101,0.5365853658536586,8.423580169677734
NIR_diff,FastICA,default,MiniBatchKMeans,170103,0.6428571428571429,12.215150594711304
NIR_diff,FastICA,default,MiniBatchKMeans,170104,0.5396825396825398,9.206717252731323
NIR_diff,FastICA,default,MiniBatchKMeans,170108,0.6190476190476191,7.531719446182251
NIR_diff,FastICA,default,MiniBatchKMeans,170110,0.5238095238095238,12.836313009262083
NIR_diff,FastICA,default,SpectralClustering,16090101,0.5882352941176471,19.13704633712769
NIR_diff,FastICA,default,SpectralClustering,16090401,0.9866666666666668,20.74851965904236
NIR_diff,FastICA,default,SpectralClustering,16090601,0.9767441860465116,17.54653573036194
NIR_diff,FastICA,default,SpectralClustering,16091201,0.5833333333333334,16.6481511592865
NIR_diff,FastICA,default,SpectralClustering,16091301,0.5227272727272727,15.606875896453856
NIR_diff,FastICA,default,SpectralClustering,16091401,0.979591836734694,21.810958862304688
NIR_diff,FastICA,default,SpectralClustering,16092001,0.6190476190476191,23.311246395111084
NIR_diff,FastICA,default,SpectralClustering,16092101,0.7142857142857143,72.79039239883423
NIR_diff,FastICA,default,SpectralClustering,16092201,0.5344827586206897,17.781907081604004
NIR_diff,FastICA,default,SpectralClustering,16092301,0.576271186440678,39.710917711257935
NIR_diff,FastICA,default,SpectralClustering,16092501,0.5135135135135135,18.123347997665405
NIR_diff,FastICA,default,SpectralClustering,16092701,0.5277777777777778,46.68188500404358
NIR_diff,FastICA,default,SpectralClustering,16092801,0.8200000000000001,17.339145183563232
