img,model,N_data,acc,time
170103,AgglomerativeClustering,7.0,1.0,0.277
170103,AgglomerativeClustering,5.0,1.0,0.275
170103,AgglomerativeClustering,4.0,1.0,0.275
170103,AgglomerativeClustering,2.0,1.0,0.285
170104,MiniBatchKMeans,1400.0,0.5555555555555556,130.983
170104,MiniBatchKMeans,700.0,0.7142857142857143,135.2
170104,MiniBatchKMeans,350.0,0.5555555555555556,129.424
170104,MiniBatchKMeans,280.0,0.5555555555555556,148.479
170104,MiniBatchKMeans,200.0,0.5714285714285714,186.792
170104,MiniBatchKMeans,175.0,0.5555555555555556,146.771
170104,MiniBatchKMeans,140.0,0.5238095238095238,8.248
170104,MiniBatchKMeans,100.0,0.6984126984126984,15.372
170104,MiniBatchKMeans,70.0,0.7142857142857143,10.891
170104,MiniBatchKMeans,56.0,0.5555555555555556,7.218
170104,MiniBatchKMeans,50.0,0.5555555555555556,5.975
170104,MiniBatchKMeans,40.0,0.6984126984126984,8.624
170104,MiniBatchKMeans,35.0,0.5873015873015873,7.618
170104,MiniBatchKMeans,28.0,0.5555555555555556,7.473
170104,MiniBatchKMeans,25.0,0.5714285714285714,8.438
170104,MiniBatchKMeans,20.0,0.5714285714285714,20.745
170104,MiniBatchKMeans,14.0,0.5555555555555556,7.869
170104,MiniBatchKMeans,10.0,0.5555555555555556,7.17
170104,MiniBatchKMeans,8.0,0.5555555555555556,12.929
170104,MiniBatchKMeans,7.0,0.5714285714285714,14.544
170104,MiniBatchKMeans,5.0,0.6666666666666666,9.753
170104,MiniBatchKMeans,4.0,0.7142857142857143,9.739
170104,MiniBatchKMeans,2.0,0.6031746031746031,6.033
170104,KMeans,1400.0,0.5555555555555556,102.609
170104,KMeans,700.0,0.5555555555555556,101.323
170104,KMeans,350.0,0.5555555555555556,175.209
170104,KMeans,280.0,0.5555555555555556,134.32
170104,KMeans,200.0,0.5555555555555556,121.481
170104,KMeans,175.0,0.5555555555555556,94.178
170104,KMeans,140.0,0.5555555555555556,90.183
170104,KMeans,100.0,0.5555555555555556,19.344
170104,KMeans,70.0,0.5555555555555556,13.655
170104,KMeans,56.0,0.5555555555555556,13.396
170104,KMeans,50.0,0.5555555555555556,13.103
170104,KMeans,40.0,0.5555555555555556,14.815
170104,KMeans,35.0,0.5555555555555556,12.655
170104,KMeans,28.0,0.5555555555555556,11.598
170104,KMeans,25.0,0.5555555555555556,11.912
170104,KMeans,20.0,0.5555555555555556,9.935
170104,KMeans,14.0,0.5555555555555556,9.966
170104,KMeans,10.0,0.5714285714285714,11.081
170104,KMeans,8.0,0.5714285714285714,12.948
170104,KMeans,7.0,0.5714285714285714,11.03
170104,KMeans,5.0,0.6666666666666666,10.328
170104,KMeans,4.0,0.5714285714285714,15.974
170104,KMeans,2.0,0.6031746031746031,11.398
170104,SpectralClustering,1400.0,0.7301587301587301,12.227
170104,SpectralClustering,700.0,0.7301587301587301,17.864
170104,SpectralClustering,350.0,0.5555555555555556,14.316
170104,SpectralClustering,280.0,0.5873015873015873,15.03
